iter	RMSE
936	2318576.21
937	2318546.584
938	2318529.23
939	2318486.287
940	2318459.064
941	2318418.561
942	2318413.195
943	2318411.123
944	2318407.469
945	2318373.445
946	2318347.365
947	2318312.998
948	2318284.012
949	2318276.889
950	2318252.742
951	2318218.593
952	2318190.779
953	2318172.5
954	2318158.205
955	2318131.756
956	2318128.508
957	2318101.01
958	2318075.882
959	2318074.33
960	2318063.589
961	2318038.199
962	2318017.065
963	2318016.327
964	2318015.692
965	2317992.737
966	2317979.811
967	2317962.416
968	2317947.109
969	2317941.69
970	2317937.638
971	2317936.097
972	2317902.7
973	2317896.762
974	2317885.728
975	2317875.099
976	2317874.331
977	2317873.838
978	2317870.167
979	2317849.063
980	2317826.381
981	2317817.559
982	2317798.657
983	2317766.618
984	2317744.245
985	2317719.309
986	2317718.924
987	2317698.287
988	2317691.172
989	2317672.104
990	2317650.718
991	2317646.26
992	2317645.839
993	2317644.203
994	2317619.74
995	2317599.861
996	2317594.594
997	2317575.476
998	2317571.127
999	2317569.929
